"id","number","vtown","category","condition","status","entry_date"
"111","CA-155","DGBT","Chain Arm Roll","New","Active","2023-05-27"
"112","CA-87","DGBT","Chain Arm Roll","New","Active","2023-05-27"
"113","C05-129","Gulberg Town","Chain Arm Roll","Old","Active","2023-05-27"
"114","C05-290","Gulberg Town","Chain Arm Roll","Old","Active","2023-05-27"
"115","CA-113","Gulberg Town","Chain Arm Roll","New","Active","2023-05-27"
"116","CA-118","Gulberg Town","Chain Arm Roll","New","Active","2023-05-27"
"117","CA-121","Gulberg Town","Chain Arm Roll","New","Active","2023-05-27"
"118","CA-150","Gulberg Town","Chain Arm Roll","New","Active","2023-05-27"
"119","CA-151","Gulberg Town","Chain Arm Roll","New","Active","2023-05-27"
"120","CA-152","Gulberg Town","Chain Arm Roll","New","Active","2023-05-27"
"121","CA-170","Gulberg Town","Chain Arm Roll","New","Active","2023-05-27"
"122","CA-172","Gulberg Town","Chain Arm Roll","New","Active","2023-05-27"
"123","C05-135","Nishter Town","Chain Arm Roll","Old","Active","2023-05-27"
"124","C05-138","Nishter Town","Chain Arm Roll","Old","Active","2023-05-27"
"125","C05-139","Nishter Town","Chain Arm Roll","Old","Active","2023-05-27"
"126","C05-144","Nishter Town","Chain Arm Roll","Old","Active","2023-05-27"
"127","C05-165","Nishter Town","Chain Arm Roll","Old","Active","2023-05-27"
"128","C05-288","Nishter Town","Chain Arm Roll","Old","Active","2023-05-27"
"129","CA-162","Nishter Town","Chain Arm Roll","New","Active","2023-05-27"
"130","CA-165","Nishter Town","Chain Arm Roll","New","Active","2023-05-27"
"131","CA-81","Nishter Town","Chain Arm Roll","New","Active","2023-05-27"
"132","CA-83","Nishter Town","Chain Arm Roll","New","Active","2023-05-27"
"133","CA-84","Nishter Town","Chain Arm Roll","New","Active","2023-05-27"
"134","C05-128","Ravi Town","Chain Arm Roll","Old","Active","2023-05-27"
"135","C05-289","Ravi Town","Chain Arm Roll","Old","Active","2023-05-27"
"136","CA-142","Ravi Town","Chain Arm Roll","New","Active","2023-05-27"
"137","CA-143","Ravi Town","Chain Arm Roll","New","Active","2023-05-27"
"138","CA-149","Ravi Town","Chain Arm Roll","New","Active","2023-05-27"
"139","CA-157","Ravi Town","Chain Arm Roll","New","Active","2023-05-27"
"140","CA-167","Ravi Town","Chain Arm Roll","New","Active","2023-05-27"
"141","CA-171","Ravi Town","Chain Arm Roll","New","Active","2023-05-27"
"142","CA-77","Ravi Town","Chain Arm Roll","New","Active","2023-05-27"
"143","CA-123","Samanabad Town","Chain Arm Roll","New","Active","2023-05-27"
"144","CA-158","Samanabad Town","Chain Arm Roll","New","Active","2023-05-27"
"145","CA-163","Samanabad Town","Chain Arm Roll","New","Active","2023-05-27"
"146","CA-46","Samanabad Town","Chain Arm Roll","New","Active","2023-05-27"
"147","CA-49","Samanabad Town","Chain Arm Roll","New","Active","2023-05-27"
"148","C05-291 ","Shalimar Town","Chain Arm Roll","Old","Active","2023-05-27"
"149","C-14","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"150","CA-117","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"151","CA-124","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"152","CA-125","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"153","CA-126","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"154","CA-154","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"155","CA-156","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"156","CA-168","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"157","CA-169","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"158","CA-173","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"159","CA-175","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"160","CA-78","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"161","CA-88","Shalimar Town","Chain Arm Roll","New","Active","2023-05-27"
"162","C05-126","Wahga Town","Chain Arm Roll","Old","Active","2023-05-27"
"163","CA-116","Wahga Town","Chain Arm Roll","New","Active","2023-05-27"
"164","CA-127","Wahga Town","Chain Arm Roll","New","Active","2023-05-27"
"165","CA-153","Wahga Town","Chain Arm Roll","New","Active","2023-05-27"
"166","CA-166","Wahga Town","Chain Arm Roll","New","Active","2023-05-27"
"167","CA-82","Wahga Town","Chain Arm Roll","New","Active","2023-05-27"
"168","C08-100","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"169","C08-116","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"170","C08-130","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"171","C08-136","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"172","C08-170","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"173","C09-308","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"174","C09-310","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"175","C-1302","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"176","C13-020","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"177","C-1308","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"178","C13-1002","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"179","C13-1004","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"180","C13-1005","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"181","C-13-1011","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"182","C13-1022","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"183","C13-1023","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"184","C13-1024","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"185","C13-1025","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"186","C13-1038","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"187","C13-1039","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"188","C13-1040","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"189","C13-1042","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"190","C13-1043","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"191","C13-1059","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"192","C13-1093","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"193","C-1312","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"194","C-1319","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"195","C-1321","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"196","C-1326","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"197","C13-292","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"198","C-1330","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"199","C-1342","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"200","C-1343","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"201","C-1344","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"202","C-1345","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"203","C-703","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"204","C7-1115","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"205","C7-1116","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"206","C7-1118","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"207","C7-1134","Allama Iqbal Town","Compactor","Old","Active","2023-05-27"
"208","C-714","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"209","C-722","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"210","C-723","Allama Iqbal Town","Compactor","New","Active","2023-05-27"
"211","C08-098","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"212","C08-124","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"213","C08-131","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"214","C08-142","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"215","C08-182","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"216","C13-1021","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"217","C13-1041","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"218","C13-1054","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"219","C13-1058","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"220","C13-1061","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"221","C13-1062","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"222","C13-1067","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"223","C13-1068","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"224","C13-1088","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"225","C-1314L","Aziz Bhatti Town","Compactor","New","Active","2023-05-27"
"226","C-15","Aziz Bhatti Town","Compactor","New","Active","2023-05-27"
"227","C25-081","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"228","C25-091","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"229","C7-1103","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"230","C7-1104","Aziz Bhatti Town","Compactor","Old","Active","2023-05-27"
"231","C-7-706","Aziz Bhatti Town","Compactor","New","Active","2023-05-27"
"232","C-7-713","Aziz Bhatti Town","Compactor","New","Active","2023-05-27"
"233","C-07-701","DGBT","Compactor","New","Active","2023-05-27"
"234","C08-115","DGBT","Compactor","Old","Active","2023-05-27"
"235","C13-006","DGBT","Compactor","Old","Active","2023-05-27"
"236","C13-010","DGBT","Compactor","Old","Active","2023-05-27"
"237","C13-1026","DGBT","Compactor","Old","Active","2023-05-27"
"238","C13-1060","DGBT","Compactor","Old","Active","2023-05-27"
"239","C13-1064","DGBT","Compactor","Old","Active","2023-05-27"
"240","C13-1065","DGBT","Compactor","Old","Active","2023-05-27"
"241","C13-1072","DGBT","Compactor","Old","Active","2023-05-27"
"242","C13-1074","DGBT","Compactor","Old","Active","2023-05-27"
"243","C13-1075","DGBT","Compactor","Old","Active","2023-05-27"
"244","C13-1077","DGBT","Compactor","Old","Active","2023-05-27"
"245","C13-1078","DGBT","Compactor","Old","Active","2023-05-27"
"246","C13-1080","DGBT","Compactor","Old","Active","2023-05-27"
"247","C13-1081","DGBT","Compactor","Old","Active","2023-05-27"
"248","C13-1086","DGBT","Compactor","Old","Active","2023-05-27"
"249","C13-1089","DGBT","Compactor","Old","Active","2023-05-27"
"250","C13-1094","DGBT","Compactor","Old","Active","2023-05-27"
"251","C13-1095","DGBT","Compactor","Old","Active","2023-05-27"
"252","C13-1096","DGBT","Compactor","Old","Active","2023-05-27"
"253","C-1313","DGBT","Compactor","New","Active","2023-05-27"
"254","C-1316","DGBT","Compactor","New","Active","2023-05-27"
"255","C-1324","DGBT","Compactor","New","Active","2023-05-27"
"256","C25-089","DGBT","Compactor","Old","Active","2023-05-27"
"257","C-709","DGBT","Compactor","New","Active","2023-05-27"
"258","C7-1106","DGBT","Compactor","Old","Active","2023-05-27"
"259","C7-1108","DGBT","Compactor","Old","Active","2023-05-27"
"260","C7-1109","DGBT","Compactor","Old","Active","2023-05-27"
"261","C7-1111","DGBT","Compactor","Old","Active","2023-05-27"
"262","C7-1113","DGBT","Compactor","Old","Active","2023-05-27"
"263","C7-1130","DGBT","Compactor","Old","Active","2023-05-27"
"264","C7-1131","DGBT","Compactor","Old","Active","2023-05-27"
"265","C7-1132","DGBT","Compactor","Old","Active","2023-05-27"
"266","C-719","DGBT","Compactor","New","Active","2023-05-27"
"267","C08-097","Gulberg Town","Compactor","Old","Active","2023-05-27"
"268","C08-104","Gulberg Town","Compactor","Old","Active","2023-05-27"
"269","C08-109","Gulberg Town","Compactor","Old","Active","2023-05-27"
"270","C08-113","Gulberg Town","Compactor","Old","Active","2023-05-27"
"271","C08-174","Gulberg Town","Compactor","Old","Active","2023-05-27"
"272","C13-001","Gulberg Town","Compactor","Old","Active","2023-05-27"
"273","C13-002","Gulberg Town","Compactor","Old","Active","2023-05-27"
"274","C13-004","Gulberg Town","Compactor","Old","Active","2023-05-27"
"275","C13-005","Gulberg Town","Compactor","Old","Active","2023-05-27"
"276","C13-007","Gulberg Town","Compactor","Old","Active","2023-05-27"
"277","C13-008","Gulberg Town","Compactor","Old","Active","2023-05-27"
"278","C13-009","Gulberg Town","Compactor","Old","Active","2023-05-27"
"279","C13-013","Gulberg Town","Compactor","Old","Active","2023-05-27"
"280","C-1306","Gulberg Town","Compactor","New","Active","2023-05-27"
"281","C-13-1006","Gulberg Town","Compactor","Old","Active","2023-05-27"
"282","C13-1052","Gulberg Town","Compactor","Old","Active","2023-05-27"
"283","C13-1055","Gulberg Town","Compactor","Old","Active","2023-05-27"
"284","C13-1056","Gulberg Town","Compactor","Old","Active","2023-05-27"
"285","C13-1057","Gulberg Town","Compactor","Old","Active","2023-05-27"
"286","C13-1063","Gulberg Town","Compactor","Old","Active","2023-05-27"
"287","C13-1069","Gulberg Town","Compactor","Old","Active","2023-05-27"
"288","C13-1073","Gulberg Town","Compactor","Old","Active","2023-05-27"
"289","C13-1079","Gulberg Town","Compactor","Old","Active","2023-05-27"
"290","C13-1083","Gulberg Town","Compactor","Old","Active","2023-05-27"
"291","C-1318","Gulberg Town","Compactor","New","Active","2023-05-27"
"292","C-1323","Gulberg Town","Compactor","New","Active","2023-05-27"
"293","C-1329","Gulberg Town","Compactor","New","Active","2023-05-27"
"294","C-1337","Gulberg Town","Compactor","New","Active","2023-05-27"
"295","C-1338","Gulberg Town","Compactor","New","Active","2023-05-27"
"296","C-1339","Gulberg Town","Compactor","New","Active","2023-05-27"
"297","C-1340","Gulberg Town","Compactor","New","Active","2023-05-27"
"298","C-1341","Gulberg Town","Compactor","New","Active","2023-05-27"
"299","C25-085","Gulberg Town","Compactor","Old","Active","2023-05-27"
"300","C7-1102","Gulberg Town","Compactor","Old","Active","2023-05-27"
"301","C7-1105","Gulberg Town","Compactor","Old","Active","2023-05-27"
"302","C7-1107","Gulberg Town","Compactor","Old","Active","2023-05-27"
"303","C7-1120","Gulberg Town","Compactor","Old","Active","2023-05-27"
"304","C-720","Gulberg Town","Compactor","New","Active","2023-05-27"
"305","C-721","Gulberg Town","Compactor","New","Active","2023-05-27"
"306","MS-304","Night Operations","Compactor","Old","Active","2023-05-27"
"307","C08-110","Nishter Town","Compactor","Old","Active","2023-05-27"
"308","C08-114","Nishter Town","Compactor","Old","Active","2023-05-27"
"309","C13-017","Nishter Town","Compactor","Old","Active","2023-05-27"
"310","C13-018","Nishter Town","Compactor","Old","Active","2023-05-27"
"311","C13-019","Nishter Town","Compactor","Old","Active","2023-05-27"
"312","C-1304","Nishter Town","Compactor","New","Active","2023-05-27"
"313","C-1307L","Nishter Town","Compactor","New","Active","2023-05-27"
"314","C-1309L","Nishter Town","Compactor","New","Active","2023-05-27"
"315","C-13-1001","Nishter Town","Compactor","Old","Active","2023-05-27"
"316","C13-1031","Nishter Town","Compactor","Old","Active","2023-05-27"
"317","C13-1033","Nishter Town","Compactor","Old","Active","2023-05-27"
"318","C13-1037","Nishter Town","Compactor","Old","Active","2023-05-27"
"319","C13-1044","Nishter Town","Compactor","Old","Active","2023-05-27"
"320","C13-1045","Nishter Town","Compactor","Old","Active","2023-05-27"
"321","C13-1046","Nishter Town","Compactor","Old","Active","2023-05-27"
"322","C13-1066","Nishter Town","Compactor","Old","Active","2023-05-27"
"323","C13-1071","Nishter Town","Compactor","Old","Active","2023-05-27"
"324","C13-1076","Nishter Town","Compactor","Old","Active","2023-05-27"
"325","C13-1082","Nishter Town","Compactor","Old","Active","2023-05-27"
"326","C13-1084","Nishter Town","Compactor","Old","Active","2023-05-27"
"327","C13-1085","Nishter Town","Compactor","Old","Active","2023-05-27"
"328","C13-1097","Nishter Town","Compactor","Old","Active","2023-05-27"
"329","C13-1098","Nishter Town","Compactor","Old","Active","2023-05-27"
"330","C13-1099","Nishter Town","Compactor","Old","Active","2023-05-27"
"331","C25-083","Nishter Town","Compactor","Old","Active","2023-05-27"
"332","C-702","Nishter Town","Compactor","New","Active","2023-05-27"
"333","C7-1117","Nishter Town","Compactor","Old","Active","2023-05-27"
"334","C7-1119","Nishter Town","Compactor","Old","Active","2023-05-27"
"335","C7-1122","Nishter Town","Compactor","Old","Active","2023-05-27"
"336","ALB-C08-102","Ravi Town","Compactor","Old","Active","2023-05-27"
"337","ALB-C08-106","Ravi Town","Compactor","Old","Active","2023-05-27"
"338","ALB-C08-117","Ravi Town","Compactor","Old","Active","2023-05-27"
"339","ALB-C08-121","Ravi Town","Compactor","Old","Active","2023-05-27"
"340","ALB-C08-134","Ravi Town","Compactor","Old","Active","2023-05-27"
"341","ALB-C08-172","Ravi Town","Compactor","Old","Active","2023-05-27"
"342","ALB-C25-093","Ravi Town","Compactor","Old","Active","2023-05-27"
"343","C07-05","Ravi Town","Compactor","New","Active","2023-05-27"
"344","C07-711","Ravi Town","Compactor","New","Active","2023-05-27"
"345","C08-096","Ravi Town","Compactor","Old","Active","2023-05-27"
"346","C08-108","Ravi Town","Compactor","Old","Active","2023-05-27"
"347","C08-119","Ravi Town","Compactor","Old","Active","2023-05-27"
"348","C08-132","Ravi Town","Compactor","Old","Active","2023-05-27"
"349","C08-137","Ravi Town","Compactor","Old","Active","2023-05-27"
"350","C09-315","Ravi Town","Compactor","Old","Active","2023-05-27"
"351","C-1305","Ravi Town","Compactor","New","Active","2023-05-27"
"352","C13-1010","Ravi Town","Compactor","Old","Active","2023-05-27"
"353","C13-1014","Ravi Town","Compactor","Old","Active","2023-05-27"
"354","C13-1015","Ravi Town","Compactor","Old","Active","2023-05-27"
"355","C13-1016","Ravi Town","Compactor","Old","Active","2023-05-27"
"356","C13-1018","Ravi Town","Compactor","Old","Active","2023-05-27"
"357","C13-1322","Ravi Town","Compactor","New","Active","2023-05-27"
"358","C-1317","Ravi Town","Compactor","New","Active","2023-05-27"
"359","C-1333","Ravi Town","Compactor","New","Active","2023-05-27"
"360","C-1334","Ravi Town","Compactor","New","Active","2023-05-27"
"361","C-1335","Ravi Town","Compactor","New","Active","2023-05-27"
"362","C-1336","Ravi Town","Compactor","New","Active","2023-05-27"
"363","C25-084","Ravi Town","Compactor","Old","Active","2023-05-27"
"364","C25-094","Ravi Town","Compactor","Old","Active","2023-05-27"
"365","C-25-295","Ravi Town","Compactor","Old","Active","2023-05-27"
"366","C7-1114","Ravi Town","Compactor","Old","Active","2023-05-27"
"367","C7-1121","Ravi Town","Compactor","Old","Active","2023-05-27"
"368","C-7-1123","Ravi Town","Compactor","Old","Active","2023-05-27"
"369","C7-1124","Ravi Town","Compactor","Old","Active","2023-05-27"
"370","C7-1138","Ravi Town","Compactor","Old","Active","2023-05-27"
"371","C7-1139","Ravi Town","Compactor","Old","Active","2023-05-27"
"372","C-716","Ravi Town","Compactor","New","Active","2023-05-27"
"373","C-717","Ravi Town","Compactor","New","Active","2023-05-27"
"374","C-718","Ravi Town","Compactor","New","Active","2023-05-27"
"375","ALB-C13-012","Samanabad Town","Compactor","Old","Active","2023-05-27"
"376","ALB-C13-014","Samanabad Town","Compactor","Old","Active","2023-05-27"
"377","ALB-C13-015","Samanabad Town","Compactor","Old","Active","2023-05-27"
"378","C08-111","Samanabad Town","Compactor","Old","Active","2023-05-27"
